Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27584544,Nike Air Force 1 High White,White/White,9,315121-115/CW2290-111,01/12/2024,$100.00,$11.17,$88.83,$62.97,$0.00,$0.00,$62.97,$25.86,,manual
27565416,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,8.5,DR8785-100/DR8786-100,01/12/2024,$94.00,$10.54,$83.46,$75.40,$0.00,$0.00,$75.40,$8.06,,spreadsheet
27584546,Nike Air Force 1 High White,White/White,8,315121-115/CW2290-111,01/12/2024,$94.00,$10.54,$83.46,$62.97,$0.00,$0.00,$62.97,$20.49,,manual
27565426,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,9.5,CZ7918-600,01/13/2024,$88.00,$9.91,$78.09,$54.98,$0.00,$0.00,$54.98,$23.11,,spreadsheet
27584537,Nike Air Force 1 High White,White/White,10.5,315121-115/CW2290-111,01/13/2024,$92.00,$11.66,$80.34,$62.97,$0.00,$0.00,$62.97,$17.37,,manual
27565427,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,9,CZ7918-600,01/13/2024,$83.00,$9.39,$73.61,$55.10,$0.00,$0.00,$55.10,$18.51,,spreadsheet
27565404,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,8,DR8785-100/DR8786-100,01/13/2024,$93.00,$10.44,$82.56,$76.98,$0.00,$0.00,$76.98,$5.58,,spreadsheet
27565364,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,10.5,DH2482-101,01/13/2024,$134.00,$14.74,$119.26,$107.76,$0.00,$0.00,$107.76,$11.50,,spreadsheet
27565413,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,9.5,DR8785-100/DR8786-100,01/14/2024,$92.00,$10.33,$81.67,$77.15,$0.00,$0.00,$77.15,$4.52,,spreadsheet
27861278,adidas Ultra Boost Light White Black Solar Red,White/Black/Solar Red,13,HQ6351,01/14/2024,$100.00,$12.50,$87.50,$68.94,$0.00,$0.00,$68.94,$18.56,,stockx_kafka_sync
27565409,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,8.5,DR8785-100/DR8786-100,01/15/2024,$93.00,$10.44,$82.56,$77.15,$0.00,$0.00,$77.15,$5.41,,spreadsheet
